test_case,covered_branches
"RegressionTest3::test1848",11
"RegressionTest3::test1864",11
"RegressionTest3::test1929",11
"RegressionTest3::test1930",11
"RegressionTest3::test1982",11
"RegressionTest3::test1990",11
"RegressionTest1::test0552",11
"RegressionTest1::test0559",11
"RegressionTest1::test0568",11
"RegressionTest1::test0625",11
"RegressionTest1::test0635",11
"RegressionTest1::test0713",11
"RegressionTest1::test0735",11
"RegressionTest1::test0750",11
"RegressionTest1::test0769",11
"RegressionTest1::test0771",11
"RegressionTest1::test0801",11
"RegressionTest1::test0856",11
"RegressionTest1::test0904",11
"RegressionTest1::test0905",11
"RegressionTest1::test0916",11
"RegressionTest1::test0926",11
"RegressionTest1::test0927",11
"RegressionTest1::test0953",11
"RegressionTest2::test1003",11
"RegressionTest2::test1005",11
"RegressionTest2::test1052",11
"RegressionTest2::test1058",11
"RegressionTest2::test1089",11
"RegressionTest2::test1113",11
"RegressionTest2::test1129",11
"RegressionTest2::test1247",11
"RegressionTest2::test1299",11
"RegressionTest2::test1305",11
"RegressionTest2::test1337",11
"RegressionTest2::test1355",11
"RegressionTest2::test1381",11
"RegressionTest2::test1387",11
"RegressionTest0::test0064",11
"RegressionTest0::test0157",11
"RegressionTest0::test0177",11
"RegressionTest0::test0184",11
"RegressionTest0::test0232",11
"RegressionTest0::test0343",11
"RegressionTest0::test0357",11
"RegressionTest0::test0365",11
"RegressionTest0::test0366",11
"RegressionTest0::test0394",11
"RegressionTest0::test0431",11
"RegressionTest0::test0453",11
"ArgumentIsOptionTest::testOptionWithArgument",11
"PatternOptionBuilderTest::testNumberPattern",11
"PatternOptionBuilderTest::testClassPattern",11
"PatternOptionBuilderTest::testObjectPattern",11
"PatternOptionBuilderTest::testURLPattern",11
"PatternOptionBuilderTest::testExistingFilePattern",11
"Option_ESTest::test28",10
"RegressionTest3::test1505",10
"RegressionTest3::test1524",10
"RegressionTest3::test1563",10
"RegressionTest3::test1572",10
"RegressionTest3::test1573",10
"RegressionTest3::test1630",10
"RegressionTest3::test1650",10
"RegressionTest3::test1666",10
"RegressionTest3::test1680",10
"RegressionTest3::test1699",10
"RegressionTest3::test1706",10
"RegressionTest3::test1734",10
"RegressionTest3::test1754",10
